"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","161.111.136.1","161.111.139.255","NBNS","92","Name query NB 0.0.0.0/0<00>"
"2","0.123253","161.111.137.3","255.255.255.255","DB-LSP-DISC","187","Dropbox LAN sync Discovery Protocol"
"3","0.135925","161.111.137.3","161.111.139.255","DB-LSP-DISC","187","Dropbox LAN sync Discovery Protocol"
"4","0.136289","161.111.137.3","255.255.255.255","DB-LSP-DISC","187","Dropbox LAN sync Discovery Protocol"
"5","0.136578","161.111.137.3","255.255.255.255","DB-LSP-DISC","187","Dropbox LAN sync Discovery Protocol"
"6","0.136880","161.111.137.3","255.255.255.255","DB-LSP-DISC","187","Dropbox LAN sync Discovery Protocol"
"7","0.137218","161.111.137.3","255.255.255.255","DB-LSP-DISC","187","Dropbox LAN sync Discovery Protocol"
"8","0.137413","161.111.137.96","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"9","0.137850","161.111.137.3","255.255.255.255","DB-LSP-DISC","187","Dropbox LAN sync Discovery Protocol"
"10","0.278336","161.111.136.244","224.0.0.251","MDNS","217","Standard query 0x0000 SRV HP Color LaserJet Pro M252dw (52CBAB)._ipp._tcp.local, ""QU"" question SRV HP Color LaserJet Pro M252dw (52CBAB)._ipps._tcp.local, ""QU"" question SRV hp LaserJet 4250 [157FF8]._pdl-datastream._tcp.local, ""QU"" question TXT hp LaserJet 4250 [157FF8]._pdl-datastream._tcp.local, ""QU"" question"
"11","0.278339","fe80::1b:1c80:bc3:1b7a","ff02::fb","MDNS","237","Standard query 0x0000 SRV HP Color LaserJet Pro M252dw (52CBAB)._ipp._tcp.local, ""QU"" question SRV HP Color LaserJet Pro M252dw (52CBAB)._ipps._tcp.local, ""QU"" question SRV hp LaserJet 4250 [157FF8]._pdl-datastream._tcp.local, ""QU"" question TXT hp LaserJet 4250 [157FF8]._pdl-datastream._tcp.local, ""QU"" question"
"12","0.279186","161.111.136.126","224.0.0.251","MDNS","60","Standard query response 0x0000"
"13","0.280418","161.111.138.101","224.0.0.251","MDNS","350","Standard query response 0x0000 A, cache flush 161.111.138.101 SRV, cache flush 0 0 9100 BCSILASER.local TXT, cache flush"
"14","0.333164","fe80::5a20:b1ff:fe52:cbab","ff02::fb","MDNS","311","Standard query response 0x0000 SRV, cache flush 0 0 631 NPI52CBAB.local SRV, cache flush 0 0 443 NPI52CBAB.local AAAA, cache flush fe80::5a20:b1ff:fe52:cbab NSEC, cache flush NPI52CBAB.local NSEC, cache flush HP Color LaserJet Pro M252dw (52CBAB)._ipp._tcp.local NSEC, cache flush HP Color LaserJet Pro M252dw (52CBAB)._ipps._tcp.local"
"15","0.749988","161.111.136.1","161.111.139.255","NBNS","92","Name query NB 0.0.0.0/0<00>"
"16","0.813378","161.111.136.145","161.111.139.255","UDP","305","54915  >  54915 Len=263"
"17","1.008649","161.111.137.247","239.255.255.250","SSDP","479","NOTIFY * HTTP/1.1 "
"18","1.039535","fe80::785b:5b45:e855:6a12","ff02::c","SSDP","505","NOTIFY * HTTP/1.1 "
"19","1.057038","192.168.4.20","161.111.139.31","UDP","108","33411  >  2999 Len=66"
"20","1.061942","192.168.4.20","161.111.139.31","UDP","108","35106  >  6041 Len=66"
"21","1.062473","161.111.139.31","161.111.139.255","DIS","108","PDUType: 71 \t Info Operations Report"
"22","1.062548","161.111.139.31","161.111.139.255","UDP","108","44597  >  1003 Len=66"
"23","1.062600","161.111.139.31","161.111.139.255","UDP","108","52685  >  3401 Len=66"
"24","1.062641","161.111.139.31","161.111.139.255","UDP","108","35919  >  6341 Len=66"
"25","1.062700","161.111.139.31","161.111.139.255","UDP","108","38373  >  6441 Len=66"
"26","1.109795","161.111.137.12","224.0.0.251","MDNS","87","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"27","1.115249","161.111.136.126","224.0.0.251","MDNS","60","Standard query response 0x0000"
"28","1.149237","161.111.137.96","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"29","1.154859","161.111.139.246","161.111.139.255","DB-LSP-DISC","458","Dropbox LAN sync Discovery Protocol"
"30","1.178116","161.111.138.69","161.111.139.255","UDP","86","57621  >  57621 Len=44"
"31","1.214955","161.111.137.60","224.0.0.251","MDNS","110","Standard query 0x0000 SRV HP Designjet T1120ps 44in [A647BF]._ftp._tcp.local, ""QM"" question"
"32","1.215811","161.111.136.126","224.0.0.251","MDNS","60","Standard query response 0x0000"
"33","1.306857","161.111.136.176","255.255.255.255","DB-LSP-DISC","197","Dropbox LAN sync Discovery Protocol"
"34","1.310246","161.111.136.176","161.111.139.255","DB-LSP-DISC","197","Dropbox LAN sync Discovery Protocol"
"35","1.341490","161.111.137.247","239.255.255.250","SSDP","531","NOTIFY * HTTP/1.1 "
"36","1.369317","161.111.136.244","224.0.0.251","MDNS","75","Standard query 0x0000 AAAA BCSILASER.local, ""QU"" question"
"37","1.369319","fe80::1b:1c80:bc3:1b7a","ff02::fb","MDNS","95","Standard query 0x0000 AAAA BCSILASER.local, ""QU"" question"
"38","1.370289","161.111.136.126","224.0.0.251","MDNS","60","Standard query response 0x0000"
"39","1.393000","fe80::785b:5b45:e855:6a12","ff02::c","SSDP","557","NOTIFY * HTTP/1.1 "
"40","1.434236","161.111.137.76","255.255.255.255","UDP","82","52307  >  1947 Len=40"
"41","1.459912","161.111.136.158","255.255.255.255","UDP","82","50753  >  1947 Len=40"
"42","1.521506","161.111.139.247","239.255.255.250","SSDP","179","M-SEARCH * HTTP/1.1 "
"43","1.576155","161.111.137.98","255.255.255.255","DB-LSP-DISC","229","Dropbox LAN sync Discovery Protocol"
"44","1.577267","161.111.137.98","161.111.139.255","DB-LSP-DISC","229","Dropbox LAN sync Discovery Protocol"
"45","1.705295","161.111.137.40","239.255.255.250","SSDP","143","M-SEARCH * HTTP/1.1 "
"46","1.739322","fe80::9a90:96ff:fed2:ce6c","ff02::fb","MDNS","130","Standard query 0x0000 SRV HP Designjet T1120ps 44in [A647BF]._ftp._tcp.local, ""QM"" question"
"47","1.756565","161.111.137.247","239.255.255.250","SSDP","488","NOTIFY * HTTP/1.1 "
"48","1.776073","fe80::785b:5b45:e855:6a12","ff02::c","SSDP","514","NOTIFY * HTTP/1.1 "
"49","1.813140","161.111.136.145","161.111.139.255","UDP","305","54915  >  54915 Len=263"
"50","1.826462","161.111.137.247","239.255.255.250","SSDP","545","NOTIFY * HTTP/1.1 "
"51","1.846686","fe80::785b:5b45:e855:6a12","ff02::c","SSDP","571","NOTIFY * HTTP/1.1 "
"52","2.023397","fe80::37:1d4e:525a:45df","ff02::1:2","DHCPv6","154","Solicit XID: 0x8791ba CID: 00010001214d6dbe00224d4f7a5a "
"53","2.051220","161.111.137.130","239.255.255.250","SSDP","139","M-SEARCH * HTTP/1.1 "
"54","2.082274","161.111.137.130","239.255.255.250","SSDP","139","M-SEARCH * HTTP/1.1 "
"55","2.155386","161.111.137.96","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"56","2.226783","192.168.4.20","161.111.139.31","UDP","108","33411  >  2999 Len=66"
"57","2.253248","161.111.136.206","239.255.255.250","SSDP","139","M-SEARCH * HTTP/1.1 "
"58","2.277877","192.168.4.20","161.111.139.31","UDP","108","35106  >  6041 Len=66"
"59","2.278419","161.111.139.31","161.111.139.255","DIS","108","PDUType: 71 \t Info Operations Report"
"60","2.278489","161.111.139.31","161.111.139.255","UDP","108","44597  >  1003 Len=66"
"61","2.278551","161.111.139.31","161.111.139.255","UDP","108","52685  >  3401 Len=66"
"62","2.278597","161.111.139.31","161.111.139.255","UDP","108","35919  >  6341 Len=66"
"63","2.278638","161.111.139.31","161.111.139.255","UDP","108","38373  >  6441 Len=66"
"64","2.309548","161.111.138.203","255.255.255.255","UDP","156","49185  >  8125 Len=114"
"65","2.310043","161.111.137.247","239.255.255.250","SSDP","320","NOTIFY * HTTP/1.1 "
"66","2.677591","161.111.137.247","239.255.255.250","SSDP","543","NOTIFY * HTTP/1.1 "
"67","2.681305","161.111.137.247","239.255.255.250","SSDP","559","NOTIFY * HTTP/1.1 "
"68","2.696788","161.111.137.243","224.0.0.251","MDNS","87","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"69","2.697586","161.111.136.126","224.0.0.251","MDNS","60","Standard query response 0x0000"
"70","2.706489","fe80::785b:5b45:e855:6a12","ff02::c","SSDP","569","NOTIFY * HTTP/1.1 "
"71","2.738552","fe80::785b:5b45:e855:6a12","ff02::c","SSDP","585","NOTIFY * HTTP/1.1 "
"72","2.820995","161.111.136.145","161.111.139.255","UDP","305","54915  >  54915 Len=263"
"73","2.907538","161.111.136.154","161.111.139.255","UDP","82","57445  >  1947 Len=40"
"74","3.080768","161.111.137.12","239.255.255.250","SSDP","168","M-SEARCH * HTTP/1.1 "
"75","3.105661","192.168.4.20","161.111.139.31","UDP","108","35106  >  6041 Len=66"
"76","3.106184","161.111.139.31","161.111.139.255","DIS","108","PDUType: 71 \t Info Operations Report"
"77","3.106255","161.111.139.31","161.111.139.255","UDP","108","44597  >  1003 Len=66"
"78","3.106312","161.111.139.31","161.111.139.255","UDP","108","52685  >  3401 Len=66"
"79","3.106356","161.111.139.31","161.111.139.255","UDP","108","35919  >  6341 Len=66"
"80","3.106392","161.111.139.31","161.111.139.255","UDP","108","38373  >  6441 Len=66"
"81","3.135540","161.111.137.247","239.255.255.250","SSDP","559","NOTIFY * HTTP/1.1 "
"82","3.155721","fe80::785b:5b45:e855:6a12","ff02::c","SSDP","585","NOTIFY * HTTP/1.1 "
"83","3.159433","192.168.4.20","161.111.139.31","UDP","108","33411  >  2999 Len=66"
"84","3.169318","161.111.137.96","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
